Country,Code,Date,Travel_Control
Afghanistan,AFG,2022-08-01,No Restriction
Albania,ALB,2022-08-01,No Restriction
Algeria,DZA,2022-08-01,Screening
Angola,AGO,2022-08-01,Screening
Argentina,ARG,2022-08-01,Screening
Aruba,ABW,2022-08-01,No Restriction
Australia,AUS,2022-08-01,No Restriction
Austria,AUT,2022-08-01,No Restriction
Azerbaijan,AZE,2022-08-01,Screening
Bahamas,BHS,2022-08-01,Screening
Bahrain,BHR,2022-08-01,No Restriction
Bangladesh,BGD,2022-08-01,Screening
Barbados,BRB,2022-08-01,Screening
Belarus,BLR,2022-08-01,Screening
Belgium,BEL,2022-08-01,Attention
Belize,BLZ,2022-08-01,Screening
Benin,BEN,2022-08-01,Screening
Bermuda,BMU,2022-08-01,Screening
Bolivia,BOL,2022-08-01,Screening
Bosnia and Herzegovina,BIH,2022-08-01,No Restriction
Botswana,BWA,2022-08-01,Screening
Brazil,BRA,2022-08-01,Screening
Bulgaria,BGR,2022-08-01,No Restriction
Burundi,BDI,2022-08-01,Screening
Cambodia,KHM,2022-08-01,Screening
Cameroon,CMR,2022-08-01,Screening
Canada,CAN,2022-08-01,Screening
Cape Verde,CPV,2022-08-01,Screening
Central African Republic,CAF,2022-08-01,Screening
Chad,TCD,2022-08-01,Screening
China,CHN,2022-08-01,Attention
Colombia,COL,2022-08-01,Screening
Congo,COG,2022-08-01,Screening
Croatia,HRV,2022-08-01,No Restriction
Czechia,CZE,2022-08-01,No Restriction
Democratic Republic of Congo,COD,2022-08-01,Screening
Denmark,DNK,2022-08-01,No Restriction
Djibouti,DJI,2022-08-01,Screening
Dominica,DMA,2022-08-01,Screening
Dominican Republic,DOM,2022-08-01,No Restriction
Ecuador,ECU,2022-08-01,Screening
Eritrea,ERI,2022-08-01,Screening
Estonia,EST,2022-08-01,No Restriction
Eswatini,SWZ,2022-08-01,Screening
Ethiopia,ETH,2022-08-01,Screening
Faeroe Islands,FRO,2022-08-01,No Restriction
Fiji,FJI,2022-08-01,Screening
Finland,FIN,2022-08-01,Screening
France,FRA,2022-08-01,No Restriction
Gabon,GAB,2022-08-01,No Restriction
Gambia,GMB,2022-08-01,Screening
Georgia,GEO,2022-08-01,No Restriction
Germany,DEU,2022-08-01,No Restriction
Ghana,GHA,2022-08-01,Screening
Greece,GRC,2022-08-01,No Restriction
Guam,GUM,2022-08-01,Attention
Guatemala,GTM,2022-08-01,Screening
Guyana,GUY,2022-08-01,Screening
Haiti,HTI,2022-08-01,Screening
Honduras,HND,2022-08-01,Screening
Hong Kong,HKG,2022-08-01,Attention
Hungary,HUN,2022-08-01,No Restriction
India,IND,2022-08-01,Screening
Indonesia,IDN,2022-08-01,Screening
Iran,IRN,2022-08-01,Screening
Iraq,IRQ,2022-08-01,Screening
Israel,ISR,2022-08-01,No Restriction
Italy,ITA,2022-08-01,No Restriction
Japan,JPN,2022-08-01,Screening
Jordan,JOR,2022-08-01,No Restriction
Kazakhstan,KAZ,2022-08-01,No Restriction
Kenya,KEN,2022-08-01,Screening
Kiribati,KIR,2022-08-01,No Restriction
Kosovo,OWID_KOS,2022-08-01,No Restriction
Kuwait,KWT,2022-08-01,No Restriction
Kyrgyzstan,KGZ,2022-08-01,No Restriction
Laos,LAO,2022-08-01,Screening
